city	City name (CDP)	City name (carbonn)	City name (PKU)	City name (GEA)	City name (UITP)	City name (WB)	Definition (CDP)	Definition (carbonn)	Definition (WB)	Study year (WB)	Reporting year (CDP)	Scope-1 GHG emissions [tCO2 or tCO2-eq]	Scope-1 source dataset	Scope-1 GHG emissions units	Year of emission	Emissions protocol	Gases included (CDP)	Methodology details (CDP)	Increase/Decrease from last year (CDP)	Reason for increase/decrease in emissions (CDP)	Scope-2 (CDP) [tCO2-eq]	Total emissions (CDP) [tCO2-eq]	CDP2016 data edited (CDP)	Emissions Quality Flag (CDP)	S1 lower bound [tCO2] (CDP)	S1 upper bound [tCO2] (CDP)	S1 mean (CDP) [tCO2]	TOT lower bound [tCO2] (CDP)	TOT upper bound [tCO2] (CDP)	TOT mean (CDP) [tCO2]	Scope fraction (CDP)	CO2 emissions per capita (PKU) [tCO2/capita]	City location (CDP) [degrees]	Latitude (others) [degrees]	Longitude (others) [degrees]	Coordinate source (others)	Country	Region	Population (CDP)	Population year (CDP)	Population (carbonn)	Population year (carbonn)	Urban population (PKU)	Population (GEA)	Population (UITP)	Population (WB)	Population year (WB)	Population (others)	Population year (others)	Population source (others)	Population 1950 (WB)	Population 1990 (WB)	Population 2010 (WB)	Population growth rate 1950-2010 (WB) [people/60years]	Population growth rate 1990-2010 (WB) [people/20years]	Ancillary from GEA+	City area (CDP) [km2]	City area (GEA) [km2]	City area (WB) [km2]	Built-up area (PKU) [km2]	City area (others) [km2]	City area source year (others)	City area source (others)	Population density (GEA) [people/km2]	Population density (UITP) [people/km2]	Population density (WB) [people/km2]	Population/sqrt(area) (GEA) [people/km]	Population/sqrt(area) (WB) [people/km]	Average altitude [m]	Average annual temperature (CDP) [degrees Celsius]	Weather station ID (GEA+)	CDD 23C (GEA+) [degrees C × days]	HDD 15.5C (GEA+) [degrees C × days]	HDD 15.5C (clim) [degrees C × days]	CDD 23C (clim) [degrees C × days]	GDP (CDP) [multiple units]	GDP unit (CDP)	GDP year (CDP)	GDP source (CDP)	GDP (carbonn) [multiple units]	nGDP (carbonn) [multiple units]	GDP unit (carbonn)	GDP year (carbonn)	GDP (PKU) [10000 RMB]	Income per capita (PKU) [RMB/capita]	GDP-PPP (others) [$BN]	GDP-PPP/capita (others) [USD/capita]	GDP-PPP source (others)	GDP-PPP year (others)	nGDP (others) [$BN]	nGDP/capita (others) [USD/capita]	nGDP source (others)	nGDP year (others)	GDP-PPP/capita (GEA) [USD/year]	GDP-PPP/capita (UITP) [USD/year]	GDP-PPP/capita (WB) [USD/year]	Total final consumption per capita (GEA) [GJ/capita/yr]	Energy per capita CO2 (WB) [tCO2-eq/capita/yr]	Diesel price (GEA+) [USD/liter]	Gasoline price (GEA+) [USD/liter]	Center of commerce index (GEA+) [dimensionless]	Household size (GEA+) [people/household]	Household size year (GEA+)	Household source (GEA+)	Household size comment (GEA+)	Urbanization ratio (GEA+) [percent]	Water bounded (GEA+)	Other bounded (GEA+)	Mean one-way travel time (others) [minutes]	Mean one-way travel time year (others)	Mean one-way travel time source (others)	Diesel price 2014 (others) [USD/liter]	Gasoline price 2014 (others) [USD/liter]	Household size (others) [people/household]	Household size year (others)	Household size source (others)	Household size comment (others)	Congestion rank (INRIX) [dimensionless]	Peak hours spent in congestion (INRIX) [hours]	INRIX congestion index (INRIX) [dimensionless]	Average congestion rate (INRIX) [percent]	Congestion rank (TomTom) [dimensionless]	Congestion level (TomTom) [× 100 percent]	Congestion change (TomTom) [× 100 percent]	Morning peak (TomTom) [percent]	Evening peak (TomTom) [percent]	Economy (IESE) [dimensionless]	Environment (IESE) [dimensionless]	Governance (IESE) [dimensionless]	Human capital (IESE) [dimensionless]	International impact (IESE) [dimensionless]	Mobility and transportation (IESE) [dimensionless]	Public management (IESE) [dimensionless]	Social cohesion (IESE) [dimensionless]	Technology (IESE) [dimensionless]	Urban planning (IESE) [dimensionless]	CIMI (IESE) [dimensionless]	CIMI ranking (IESE) [dimensionless]	CIMI performance (IESE) [dimensionless]	Urban area name (UEX)	Low BUA - 1990 (UEX) [km2]	Low BUA - 2000 (UEX) [km2]	Low BUA - 2014 (UEX) [km2]	High BUA - 1990 (UEX) [km2]	High BUA - 2000 (UEX) [km2]	High BUA - 2014 (UEX) [km2]	Low BUA % - 1990 (UEX) [percent]	Low BUA % - 2000 (UEX) [percent]	Low BUA % - 2014 (UEX) [percent]	High BUA % - 1990 (UEX) [percent]	High BUA % - 2000 (UEX) [percent]	High BUA % - 2014 (UEX) [percent]	Low BUA population density - 1990 (UEX) [people/km2]	High BUA population density - 1990 (UEX) [people/km2]	Low BUA population density - 2000 (UEX) [people/km2]	High BUA population density - 2000 (UEX) [people/km2]	Low BUA population density - 2014 (UEX) [people/km2]	High BUA population density - 2014 (UEX) [people/km2]	Exports (others) [m3]	Production (others) [m3]	Natgas Export/Production ratio (others)	CH4_waste/capita (others) [tCH4/capita]	CH4_waste+natgas/capita (others) [tCH4/capita]	Corrected CH4_(waste+natgas)/capita (others) [tCH4/capita]	Year from CIA (others)	AQF (CDP/GEA)	AQF (CDP/WB)	AQF (CDP/OTHERS)	AQF (PKU/GEA)	AQF (PKU/WB)	AQF (PKU/OTHERS)	PQF (CDP)	PQF (carbonn)	PQF (WB)	PQF (WB2010)	PQF (OTHERS)	HQF (GEA+)	HQF (OTHERS)	MethodNum	MethodColour	nGDP category	s1 per cap	S1 per capita
Abington	Abington Township						Other: Municipal boundary				2016	193345	CDP	tCO2-eq	2010	Other	CO2; CH4; N2O; HFCs; PFCs; SF6	"The Delaware Valley Regional Planning Commission (DVRPC) is the designated Metropolitan Planning Organization (MPO) for the Greater Philadelphia Region. DVRPC works to promote regional cooperation
in a 9-county, bi-state region. The region includes Bucks, Chester, Delaware, Montgomery (the county where Abington Township is located and the third largest Pennsylvania county), and
Philadelphia counties in Pennsylvania; and Burlington, Camden, Gloucester, and Mercer counties in New Jersey. DVRPC facilitates city, county and state representatives of this region to address key concerns
such as transportation, land use, environmental protection and economic development. DVRPC conducts a regional Energy Use and Greenhouse Gas Emissions Inventory on a 5-year interval, with the most recent inventory reflecting year 2010 conditions as summarized below: 1. DVRPC conducted a baseline inventory in 2005 which may be found at http://www.dvrpc.org/reports/09038A.pdf (Abington's results may be found on line 1 of page 66 or A-13 of this document under the Table ""Montgomery County, PA – 2005 Greenhouse Gas Emissions Allocated to Municipality (MTCO2E)""; 
2. A 2010 inventory for which Abington Townships results may be found at http://www.dvrpc.org/webmaps/MunicipalEnergy/mcdDetail.aspx?mcdcode=4209100156 under ""GHG Emissions by Sector"" which is further broken down at the end under ""Non-Energy Greenhouse Gas Emissions.""  The 2010 results are what is being reported for this questionnaire."	Decreased	Energy efficiency by residents, businesses, industries, municipal government, and institutions such as hospitals and four public schools with geothermal HVAC, and a cleaner electricity generation mix contributed to this decrease.	421879	615224		A	138111.799838	165934.941021	152023.370429	559990.799838	587813.941021	573902.370429	1		(40.12408, -75.119511)	40.1	-75.099722	https://en.wikipedia.org/wiki/Abington_Township,_Montgomery_County,_Pennsylvania	USA	North America	55310	2010								55557	2016	https://www.census.gov/quickfacts/fact/table/abingtontownshipmontgomerycountypennsylvania/PST045216							40.1				40.1707449	2010	https://www.census.gov/quickfacts/fact/table/abingtontownshipmontgomerycountypennsylvania/PST045216						86	13.6				627	48														2008			[20] Economic growth widespread across metropolitan areas in 2014. GDP by metropolitan area statistics. Available at https://bea.gov/newsreleases/regional/gdp_metro/2015/pdf/gdp_metro0915.pdf																	27.8	(2011-2015) 		0.97	0.86	2.62	2011-2015	https://www.census.gov/quickfacts/fact/table/abingtontownshipmontgomerycountypennsylvania/PST045216																								see: New York and Philadelphia Urban Area																			42870000000	766200000000	0.06	0.0176989817	0.0367294791	0.0356646952				1				1				0		1	5	#F7D76F		2.7363495226	3.4801195169
Addis Ababa	Addis Ababa City Administration						Administrative boundary of a local government				2016	3708292	CDP	tCO2-eq	2012	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O	Reported according to the BASIC+ requirement	This is our first year of calculation	lack of capacity		3708292	CDP2016 TOT likely wrong because one scope is missing.	E	1983266.67277	3298555.81422	2640911.24349	1983266.67277	3298555.81422	2640911.24349			(9.028874, 38.754366)	9.03	38.74	https://en.wikipedia.org/wiki/Addis_Ababa	Ethiopia	Africa	3384569	2008								3270000	2016	http://www.c40.org/cities/addis-ababa							540				540	2016	http://www.c40.org/cities/addis-ababa						2650					73	0		ETB     Ethiopian Birr									12		[2]  Global city GDP rankings 2008-2025. Pricewaterhouse Coopers. Archived from the original on 4 May 2011. Retrieved 27/09/2017 at https://web.archive.org/web/20110504031739/https://www.ukmediacentre.pwc.com/imagelibrary/downloadMedia.ashx?MediaDetailsID=1562	2008																							0.89	0.99																											Addis Ababa City Administration Urban Area	82.375	103.75	202.125	102.8125	155.0625	281.75	0.4448194398	0.4008693552	0.417721519	0.5551805602	0.5991306448	0.582278481	935.71560419	10768.6152252	3063.22749911	16527.7609118	1600.27738177	13451.8381597	0	1	0	0.0043235742	0.0182026271	0.0182026271				1				1				1			1	#75766D		0.8076181173	1.1340342508
Adelaide	City of Adelaide						Administrative boundary of a local government				2016	63724	CDP	tCO2-eq	2013	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O		Decreased	Reduction in electricity consumption, a reduction in the greenhouse gas intensity of the state electricity grid and a change in methodology used for estimating transport inventories.	422817	486541		A	41872.9652379	45693.5509093	43783.2580736	464689.965238	468510.550909	466600.258074	1		(-34.928499, 138.600746)	-34.929	138.601	https://en.wikipedia.org/wiki/Adelaide	Australia	Oceania	23169	2015								22393	2010	https://en.wikipedia.org/wiki/City_of_Adelaide#cite_note-1							16				15.57		https://en.wikipedia.org/wiki/City_of_Adelaide						38	18				528	60	18360000000	AUD     Australian Dollar	2015	:  http://economy.id.com.au/adelaide							47.433	36217	[1] Berube A., J. L. Trujillo, T. Ran, J. Parilla (Thursday, January 22, 2015), Brookings/Global Metro Monitor Report. Available online at https://www.brookings.edu/wp-content/uploads/2015/01/bmpp_gmm_final.pdf and the 2014 Global Metro Monitor Map, available at https://www.brookings.edu/research/global-metro-monitor/. The data retrieved 27/09/2017.	2014	56	46242.7745665	[19]																	33.23	2014-2017	https://www.numbeo.com/traffic/in/Adelaide [BASED ON 37 CONTRIBUTORS]	1.28	1.23	1.7	2011	http://www.censusdata.abs.gov.au/census_services/getproduct/census/2011/quickstat/SED40001?opendocument&navpos=220						100	0.27	0.02	45%	41%														City of Adelaide Urban Area	234.5625	244.5	250.125	595	617.625	639.25	0.2827544639	0.2836015659	0.2812368236	0.7172455361	0.7163984341	0.7187631764	401.928178908	6206.60559235	75.982079647	1470.0303528	74.7925803689	1789.25977762	31610000000	62640000000	0.5	0.0277933709	0.039682077	0.0336826837				1				1				1		1	1	#75766D	2	1.9552207419	2.8457107132
Aguascalientes		Municipality of Aguascalientes						Municipality				3839803	carbonn	tCO2-eq	2010	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)																		21.8897	-102.295	carbonn	Mexico	Latin America & Caribbean			934424	2012						934424	2012	Wikipedia											385	2012	Wikipedia											24	2385					8321480	9736522.00868	USD	2013																													1.02	1.03					480	16	3.7	8.1%																			Aguascalientes Urban Area	57	63.1875	72.9375	70.5	96.5	130.4375	0.4470588235	0.3956947162	0.3586355255	0.5529411765	0.6043052838	0.6413644745	1846.46179967	17478.1569123	1457.25822496	6440.99130946	417.509763308	7286.42363133															1			1			1	#75766D		4.1092726642	4.1092726642
Ahmedabad		Ahmedabad Municipal Corporation		Ahmadabad				Municipality				13855311	carbonn	tCO2-eq	2008	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)																		23.03	72.58	carbonn	India	South Asia			5570585	2011		4900000				5633927	2011	Wikipedia						1		464			464.165	2011	Wikipedia	10560.3448276			227476.789267				VAAH	2120	26	0	1510						10930377619.3					49		[2]	2008	12	1954.39739414	"[3] The Most Dynamic Cities of 2025. Foreign Policy. Retrieved 24/08/2012. http://foreignpolicy.com/2012/08/07/the-most-dynamic-cities-of-2025/,
[19] Global Cities of the Future. Dynamic map. McKinsey&CompacKinsey Global Institute City Scope v2.0 Last updated June 2012. Retrieved 27/09/2017. Available at: http://www.mckinsey.com/tools/Wrappers/Redesign/InteractiveWrapper.aspx?sc_itemid={C84CB74F-A3B1-47B1-8265-6252F6D85B68}"	2010	6247.85352064			15.7732751429		0.7	1.09		4.8	2011	Household: http://www.censusindia.gov.in/2011census/hlo/District_Tables/Distt_table/24/HH1604-2400CRCD.pdf -- Population: http://www.censusindia.gov.in/2011-prov-results/prov_data_products_gujarat.html	Calculation: pop/household (7208200/1494656)	29.235	0	River				0.91	1.1																											Ahmedabad Urban Area	169.125	195.1875	253.25	246.25	284.375	370.375	0.4071622028	0.4070115991	0.4060934055	0.5928377972	0.5929884009	0.5939065945	602.09819562	4249.95271171	1340.10849475	19016.351722	1134.3565755	19233.7632586															1			1	1		1	#75766D	1	2.4592634942	2.4592634942
Ajax, ON	Town of Ajax, ON						Administrative boundary of a local government				2016	6354	CDP	tCO2	2008	International Emissions Analysis Protocol (ICLEI)	CO2	PCP Protocol method	Increased	Emissions have increased as the population of the Town has increased since 2008 from 103,855 to 130,335 people in 2016.		538836		C									(43.850855, -79.020373)	43.858	-79.036389	https://en.wikipedia.org/wiki/Ajax,_Ontario	Canada	North America	109600	2011								109600	2011	https://en.wikipedia.org/wiki/Ajax,_Ontario#cite_note-census2011-2							67.1				67.07		https://en.wikipedia.org/wiki/Ajax,_Ontario#cite_note-census2011-2						90	7.8				1834	18		CAD     Canadian Dollar												2008																				34.9	2011	Avg for DURHAM region, not specifically Ajax. https://www.durhamregion.com/community-story/6261303-durham-commuter-life-getting-longer-more-time-consuming/	1.16	1.17	3.2	2011	average number of persons per census family [http://www12.statcan.ca/nhs-enm/2011/dp-pd/prof/details/page.cfm?Lang=E&Geo1=CSD&Code1=3518005&Data=Count&SearchText=ajax&SearchType=Begins&SearchPR=35&A1=All&B1=Families%20and%20households&Custom=&amp;TABID=1#tabs2]average number of persons per census family [http://www12.statcan.ca/nhs-enm/2011/dp-pd/prof/details/page.cfm?Lang=E&Geo1=CSD&Code1=3518005&Data=Count&SearchText=ajax&SearchType=Begins&SearchPR=35&A1=All&B1=Families%20and%20households&Custom=&amp;TABID=1#tabs2]																								see: Toronto Urban Area																			77960000000	151500000000	0.51	0.046860437	0.1017275144	0.0734936045				1				1				1		1	4	#FFC7AF		0.0579744526	0.0579744526
Albany	City of Albany						Administrative boundary of a local government				2017	663997	CDP	tCO2-eq	2010	Other: New York Community and Regional GHG Inventory Guidance	CO2; CH4; N2O; HFCs; PFCs; SF6	http://cdrpc.org/programs/sustainability/climate-smart-communities-csc/ghg-inventory/	Other: The City of Albany has not conducted a community GHG inventory update since the baseline year.	Technically the City has a community inventory data for baseline year 2009, an update for 2010, and an updated for 2013. However the results are not directly comparable as the 2009 was conducted specifically for Albany and 2010 was scaled down from a regional inventory and Energy Plan was conducted separately. We need to do a more robust update to ensure apples to apples comparison.	553094	1217091	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	A	566276.876422	615502.356509	590889.616466	1119370.87642	1168596.35651	1143983.61647	1		(42.6526, -73.7562)	42.653	-73.757222	https://en.wikipedia.org/wiki/Albany,_New_York	USA	North America	97856	2010								98111	2016	https://www.census.gov/quickfacts/fact/table/albanycitynewyork/PST045216							55				55.3998861	2010	https://www.census.gov/quickfacts/fact/table/albanycitynewyork/PST045216						9	9				2430	3	49621	USD     US Dollar	2013	U.S. Bureau of Economic Analysis							58.397	66342	[1]	2014	52	59633.0275229	[19]																	19.1	(2011-2015) 		0.97	0.86	2.19	2011-2015	https://www.census.gov/quickfacts/fact/table/albanycitynewyork/PST045216		586	13	2.3	4.4%	178	0.14	0	18%	32%														City of Albany Urban Area	187.5625	193.1875	200.1875	281.75	311.8125	336.375	0.3996537488	0.382549505	0.3730926034	0.6003462512	0.6174504951	0.6269073966	261.091695874	1019.549209	170.952655342	1148.16342146	147.032128647	1131.75076895	42870000000	766200000000	0.06	0.0176989817	0.0367294791	0.0356646952				1				1				0		1	5	#F7D76F	2	6.0226642932	6.7678140066
Alton, IL	City of Alton, IL						Administrative boundary of a local government				2016	138542	CDP	tCO2-eq	2013	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O		This is our first year of calculation		262537	401079		A	111997.908633	125369.214288	118683.56146	374534.908633	387906.214288	381220.56146	1		(38.890604, -90.184276)	38.901	-90.159722	https://en.wikipedia.org/wiki/Alton,_Illinois	USA	North America	26581	2015								26861	2016	https://www.census.gov/quickfacts/fact/table/altoncityillinois/PST045216							43				40.0671453	2010	https://www.census.gov/quickfacts/fact/table/altoncityillinois/PST045216						132	13.7				464	73		USD     US Dollar	2015											2008			[20]																	22.7	(2011-2015) 		0.97	0.86	2.27	2011-2015	https://www.census.gov/quickfacts/fact/table/altoncityillinois/PST045216																								see: Saint Louis Urban Area																			42870000000	766200000000	0.06	0.0176989817	0.0367294791	0.0356646952				1				1				1		1	1	#75766D		4.4184342154	5.1577379844
Amman	Greater Amman Municipality						A metropolitan area				2016	3322603	CDP	tCO2-eq	2014	2006 IPCC Guidelines for National Greenhouse Gas Inventories	CO2; CH4; N2O		This is our first year of calculation		3892804	7215407		A	2267715.93897	2744820.62596	2506268.28247	6160519.93897	6637624.62596	6399072.28247	1		(31.945367, 35.928372)	31.95	35.932778	https://en.wikipedia.org/wiki/Amman	Jordan	N Africa & W Asia	3604459	2015								4007526	2016	https://en.wikipedia.org/wiki/Amman							800				1680		https://en.wikipedia.org/wiki/Amman						900	17				764	313	10697000000	JOD     Jordanian Dinar	2014	Ministry of Energy and Mineral Resources										2008																				50.29	2014-2017	https://www.numbeo.com/traffic/in/Amman [BASED ON 25 CONTRIBUTORS]	0.82	1.27	5.2	2008	https://knoema.com/atlas/Jordan/Amman/Average-Households-Size											171	156	170	174	154	180	66	92	167	169	36.7	175	B	Greater Amman Municipality Urban Area	253.6875	291.125	322.625	290.1875	357.3125	421.75	0.4664444955	0.4489638554	0.4334172964	0.5335555045	0.5510361446	0.5665827036	251.262705755	2261.53710701	666.493351762	6751.48795156	883.311331173	9027.92987545	0	1	0	0.0057248771	0.0104522032	0.0104522032				0				1				1		1	3	#DCCDA1		0.6253903986	0.8290908156
Amsterdam	City of Amsterdam			Amsterdam	Amsterdam		Administrative boundary of a local government				2016	2161000	CDP	tCO2	2016	Other	CO2	Local standard based on electricity, gas, district heat en local transportation.	Decreased	The decrease is very slight (<0,1%). An exact reason cannot be given. It probably has to do with the fact that outdoor temperatures were lower in 2015 than in 2014 and an increase of economical activity. Despite these curcumstances it is a decrease of emissions. This can be an indication that climate policies have a positieve affect, though not very strong.	2310000	4471000	S1 derived from TOT - S2 in CDP2016 dataset	C							1		(52.370216, 4.895168)	52.367	4.9	https://en.wikipedia.org/wiki/Amsterdam	Netherlands	Europe	822272	2015				743000	831499			810000	2016	http://www.c40.org/cities/amsterdam						1	219	219			219	2016	http://www.c40.org/cities/amsterdam	3392.69406393	5703		50207.2872151		2	11.8	EHAM	15	2060	1950	0	50047000000	EUR     Euro	2013	Rapport Economische Verkenningen MRA 2015, blz 97. (Amsterdam Metropolitan Area)							320.6	45265	[1] The number is for Amsterdam-Rotterdam	2014	120.67123	49676.2166268	[24] GDP from cities. Population in cities. Organisation of Economic Co-Operation and Development (OECD). OECD.Stat (Statistics of OECD Countries and selected non-member economies). Retrieved 10/10/2017 from https://stats.oecd.org/	2013	41069.3681184	28321.84		74.51		1.45	1.68	60.06	1.82	2004	http://www.urbanaudit.org		80.172	1		37.5	2015	Waze, cited in http://www.businessinsider.fr/us/the-15-cities-with-the-longest-commutes-in-the-world-2015-10/	1.8	2.15	1.8	2013	eurostat 2014 [http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en]		215	27	4.8	9.2%	129	0.22	0.02	35%	52%	32	95	31	34	7	20	56	26	6	1	82.86	10	RA	Amsterdam and Rotterdam Urban Area	767.75	820.375	810.3125	1285.375	1469.9375	1788.9375	0.3739421613	0.358193478	0.3117485813	0.6260578387	0.641806522	0.6882514187	1749.71957755	6483.27671454	275.634100333	3042.12085006	233.429310897	2726.1065771	63420000000	81520000000	0.78	0.0136552404	0.0287396254	0.0170044476	2013	1		1				1				1	1	1	5	#F7D76F	3	2.6679012346	2.6679012346
